country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Denmark,74.10170732,74.2304878,74.55121951,74.4204878,74.56219512,74.42756098,74.5797561,74.69121951,74.77170732,74.7997561,74.80536585,75.15780488,75.19414634,75.11682927,75.37512195,75.21268293,75.59146341,75.94512195,76.13902439,76.34146341,76.59268293,76.79268293,76.89512195,77.14390244,77.49268293,77.84390244,78.09512195,78.19512195,78.44634146,78.59756098,79.1,79.8,80.05121951,80.3,80.7,80.70243902,80.85365854,81.00487805
Dominican Republic,62.861000000000004,63.233999999999995,63.601000000000006,63.964,64.32600000000001,64.692,65.065,65.443,65.822,66.20100000000001,66.574,66.932,67.27199999999999,67.59100000000001,67.887,68.164,68.425,68.67699999999999,68.925,69.175,69.429,69.69,69.957,70.227,70.499,70.771,71.041,71.304,71.559,71.806,72.046,72.28399999999999,72.523,72.763,73.003,73.241,73.471,73.689
Algeria,58.198,59.519,60.813,62.028999999999996,63.13,64.087,64.884,65.545,66.097,66.554,66.938,67.27,67.575,67.877,68.194,68.54,68.919,69.32300000000001,69.745,70.183,70.64,71.116,71.605,72.101,72.594,73.072,73.521,73.936,74.311,74.64399999999999,74.938,75.199,75.436,75.661,75.878,76.09,76.298,76.499
East Asia & Pacific (excluding high income),65.06898345,65.50485617,65.90065535,66.25835637,66.58140353,66.87196543,67.12958977,67.35458539,67.55037495,67.72465377,67.88613833,68.04362499,68.2032434,68.37449275,68.56247861,68.77409377,69.01087442,69.27021848,69.54577637,69.83606723,70.13617334,70.44228545,70.74836525,71.05126647,71.34881742,71.64072954,71.9275697,72.2123464,72.49664019,72.78072414,73.06626441,73.35512026,73.64529744,73.93437703,74.22047205,74.49622762,74.75561418,74.9949516
Early-demographic dividend,56.07845878,56.53693199,56.9800056,57.41778789999999,57.85392314,58.29225549,58.73195884,59.17221342,59.60848622,60.04806468,60.49144914,60.92860747,61.36308056,61.79486377,62.21514035,62.61945264,63.00585009,63.37340855,63.72623371,64.0688947,64.40316231,64.73394174,65.06525423,65.40237957,65.74837738,66.10640966,66.48058662,66.86693197,67.26282985,67.6620701,68.05645765,68.4394018,68.80377133,69.14579799,69.46162034,69.74927422,70.01206579,70.2552611
East Asia & Pacific,66.14415604,66.56421393,66.95963824,67.28236449,67.61493227,67.90408529,68.17232829999999,68.40965336,68.58177793,68.77215715,68.92754337,69.09735411,69.24523675,69.4172772,69.61721148,69.79630149,70.06449969,70.3257515,70.58485182,70.8551712,71.17191891,71.48171721,71.77476483,72.06752842,72.36114459,72.62462075,72.9216443,73.20093378,73.46989557,73.75912511,74.0129969,74.26595012,74.56212675,74.84821439,75.12517029,75.39255688,75.63562149,75.86574762
Europe & Central Asia (excluding high income),66.28180764,66.49550227,66.82810765,66.94861953,66.94523221,67.35650718,68.1160225,68.28889675,68.36332333,68.31636659,68.18460012,68.00144247,67.25862696,66.38879184,66.14433557,66.17864523,66.74198012,67.36760835,67.71456397,67.49057481,67.56023284,67.69921020000001,67.78104143,67.91720115,68.24635944,68.38808712,69.01699407,69.53634569,69.84325413,70.46010806,70.78469417,71.37844752,71.73542559,72.16356056,72.39869605,72.71037286,73.05881307,73.39917233
Europe & Central Asia,70.16385890000001,70.42824034,70.71881152,70.78845371,70.93944724,71.15259457,71.63844597,71.85609911,71.98385452,72.04719017,72.04651869,71.9845494,71.86812514,71.54550623,71.61457077,71.705897,72.12309651,72.53825376,72.85189279,72.86666353,73.02594733,73.28867650000001,73.40333502,73.51652892,73.9516483,74.11585345,74.61354678,74.97424898,75.23709137,75.63800158,75.93569741,76.45979131,76.61983774,76.94739352,77.27770944,77.23880001,77.58798224,77.74469037
Ecuador,63.512,64.089,64.669,65.24600000000001,65.814,66.37100000000001,66.911,67.436,67.943,68.431,68.899,69.347,69.777,70.189,70.587,70.972,71.348,71.71600000000001,72.075,72.425,72.76100000000001,73.078,73.37100000000001,73.641,73.887,74.112,74.319,74.514,74.705,74.895,75.089,75.289,75.495,75.707,75.923,76.143,76.365,76.584
Egypt,58.332,58.995,59.67100000000001,60.372,61.091,61.806000000000004,62.486999999999995,63.11,63.662,64.143,64.572,64.97800000000001,65.392,65.831,66.298,66.779,67.249,67.68,68.051,68.357,68.602,68.796,68.961,69.116,69.271,69.434,69.608,69.788,69.971,70.15899999999999,70.34899999999999,70.543,70.736,70.928,71.117,71.30199999999999,71.482,71.656
